Time / s,C1.v / V,C2.v / V,G.v / V,L.v / V,Nr.v / V,Ro.v / V
0.0,4.0,0.0,-4.0,0.0,4.0,0.0
5.0,3.882737874984741,0.10942607372999191,-3.7733118534088135,0.10923496633768082,3.882737874984741,0.00019110887660644948
10.0,3.8029463291168213,0.21158291399478912,-3.5913634300231934,0.2108350396156311,3.8029463291168213,0.0007478674524463713
15.0,3.756023645401001,0.3062680661678314,-3.4497554302215576,0.3046235144138336,3.756023645401001,0.0016445559449493885
20.0,3.7373855113983154,0.3932543694972992,-3.3441312313079834,0.39040082693099976,3.7373855113983154,0.0028535248711705208
25.0,3.742689847946167,0.47230449318885803,-3.270385265350342,0.46795833110809326,3.742689847946167,0.004346139263361692
30.0,3.7679507732391357,0.5431881546974182,-3.2247626781463623,0.5370947122573853,3.7679507732391357,0.006093444302678108
35.0,3.8094027042388916,0.6056914329528809,-3.2037112712860107,0.5976256132125854,3.8094027042388916,0.00806587003171444
40.0,3.863532066345215,0.6596216559410095,-3.2039103507995605,0.649388313293457,3.863532066345215,0.010233299806714058
45.0,3.927082061767578,0.7048119902610779,-3.2222702503204346,0.6922468543052673,3.927082061767578,0.012565135024487972
50.0,3.996931314468384,0.7411396503448486,-3.255791664123535,0.7261093854904175,3.996931314468384,0.015030265785753727
55.0,4.070194721221924,0.7685191631317139,-3.301675796508789,0.7509218454360962,4.070194721221924,0.017597325146198273
60.0,4.144175052642822,0.7869163155555725,-3.3572585582733154,0.7666814923286438,4.144175052642822,0.020234815776348114
65.0,4.21637487411499,0.7963525652885437,-3.420022487640381,0.7734411358833313,4.21637487411499,0.02291145734488964
70.0,4.284499645233154,0.7969004511833191,-3.4875991344451904,0.7713043689727783,4.284499645233154,0.02559605985879898
75.0,4.346455097198486,0.788694441318512,-3.55776047706604,0.760436475276947,4.346455097198486,0.02825799770653248
80.0,4.400350093841553,0.7719285488128662,-3.6284215450286865,0.741061270236969,4.400350093841553,0.030867332592606544
85.0,4.444497108459473,0.746856689453125,-3.6976404190063477,0.7134617567062378,4.444497108459473,0.03339492902159691
90.0,4.47741174697876,0.7137928009033203,-3.7636189460754395,0.6779798865318298,4.47741174697876,0.03581290319561958
95.0,4.4978156089782715,0.6731141209602356,-3.8247013092041016,0.6350193619728088,4.4978156089782715,0.03809472545981407
100.0,4.504634857177734,0.6252562999725342,-3.8793785572052,0.5850411057472229,4.504634857177734,0.040215201675891876
105.0,4.497004508972168,0.5707123875617981,-3.9262921810150146,0.5285618305206299,4.497004508972168,0.04215056449174881
110.0,4.474266529083252,0.5100400447845459,-3.964226245880127,0.4661608636379242,4.474266529083252,0.04387915879487991
115.0,4.435961723327637,0.44382718205451965,-3.9921345710754395,0.39844563603401184,4.435961723327637,0.04538155719637871
120.0,4.381842136383057,0.37271979451179504,-4.009122371673584,0.32607924938201904,4.381842136383057,0.04664052650332451
125.0,4.311864852905273,0.2974146604537964,-4.0144500732421875,0.24977344274520874,4.311864852905273,0.04764123633503914
130.0,4.226156234741211,0.2186167985200882,-4.00753927230835,0.1702459156513214,4.226156234741211,0.048370879143476486
135.0,4.125066757202148,0.1370895653963089,-3.9879770278930664,0.08826965093612671,4.125066757202148,0.048819903284311295
140.0,4.009121417999268,0.05361264944076538,-3.9555084705352783,0.0046313852071762085,4.009121417999268,0.04898126423358917
